650	CHOICE_TRACK	4407	Porosity	RANGE	1	8	0=3%	1=6%	2=9%	3=12%	4=15%	5=18%	6=21%	7=24%	
1395.5	CHOICE_DATUM	4407	1395.5	1396	0										0.5
1451.5	CHOICE_DATUM	4407	1451.5	1452	0										0.5
1452.5	CHOICE_DATUM	4407	1452.5	1453	0										0.5
1625.5	CHOICE_DATUM	4407	1625.5	1629.5	0										4
1702	CHOICE_DATUM	4407	1702	1703.5	0										1.5
1782	CHOICE_DATUM	4407	1782	1784.5	0										2.5
1932	CHOICE_DATUM	4407	1932	1934.5	0										2.5
1935	CHOICE_DATUM	4407	1935	1938	0										3
1989.5	CHOICE_DATUM	4407	1989.5	1992.5	0										3
2001.5	CHOICE_DATUM	4407	2001.5	2003	0										1.5
2039.5	CHOICE_DATUM	4407	2039.5	2040	0										0.5
2041.5	CHOICE_DATUM	4407	2041.5	2042	0										0.5
2043.5	CHOICE_DATUM	4407	2043.5	2044	0										0.5
2111.5	CHOICE_DATUM	4407	2111.5	2112	0										0.5
2124	CHOICE_DATUM	4407	2124	2124.5	0										0.5
2128.5	CHOICE_DATUM	4407	2128.5	2129	0										0.5
2216	CHOICE_DATUM	4407	2216	2216.5	0										0.5
2219.5	CHOICE_DATUM	4407	2219.5	2220	0										0.5
2250	CHOICE_DATUM	4407	2250	2251	0										1
2252	CHOICE_DATUM	4407	2252	2252.5	0										0.5
2253	CHOICE_DATUM	4407	2253	2253.5	0										0.5
2262	CHOICE_DATUM	4407	2262	2263.5	0										1.5
2344	CHOICE_DATUM	4407	2344	2345	0										1
2371.5	CHOICE_DATUM	4407	2371.5	2372	0										0.5
2380	CHOICE_DATUM	4407	2380	2381	0										1
2382	CHOICE_DATUM	4407	2382	2383	0										1
2384	CHOICE_DATUM	4407	2384	2385	0										1
2386	CHOICE_DATUM	4407	2386	2387	0										1
2398.5	CHOICE_DATUM	4407	2398.5	2399	0										0.5
2425.5	CHOICE_DATUM	4407	2425.5	2426	0										0.5
2431.5	CHOICE_DATUM	4407	2431.5	2432	0										0.5
2435	CHOICE_DATUM	4407	2435	2435.5	0										0.5
															
650	CHOICE_TRACK	4406	Porosity Type	DEPTH	1	8	1000=EARTHY	1001=FENEST	1002=FRACTURE	1003=INTER	1004=MOLDIC	1005=ORGANIC	1006=PINPOINT	1007=VUGGY	
694.822	CHOICE_DATUM	4406	694.822	1003											
709.879	CHOICE_DATUM	4406	709.879	1003											
730.179	CHOICE_DATUM	4406	730.179	1003											
744.931	CHOICE_DATUM	4406	744.931	1003											
755.112	CHOICE_DATUM	4406	755.112	1003											
769.498	CHOICE_DATUM	4406	769.498	1003											
784.799	CHOICE_DATUM	4406	784.799	1003											
799.917	CHOICE_DATUM	4406	799.917	1003											
819.912	CHOICE_DATUM	4406	819.912	1003											
839.907	CHOICE_DATUM	4406	839.907	1003											
880.14	CHOICE_DATUM	4406	880.14	1003											
919.704	CHOICE_DATUM	4406	919.704	1003											
999.866	CHOICE_DATUM	4406	999.866	1003											
1039.734	CHOICE_DATUM	4406	1039.734	1003											
1079.784	CHOICE_DATUM	4406	1079.784	1003											
1119.835	CHOICE_DATUM	4406	1119.835	1003											
1159.886	CHOICE_DATUM	4406	1159.886	1003											
